ddbs,gt,steps_to_atk,predictions,Flipping_Freq,Model_preds
0.0892539471387863,1,3,2,0,1
0.2317963540554046,9,4,0,7,9
0.326880544424057,2,8,2,3,2
0.183037057518959,3,9,3,4,3
0.0884430855512619,2,4,1,3,2
0.1160600557923317,5,3,6,6,5
0.0701024755835533,9,3,2,13,9
0.1244908347725868,3,3,5,7,3
0.1790018826723098,3,3,8,6,3
0.0799861922860145,1,3,7,6,1
0.1558111906051635,3,4,5,4,3
0.1146049946546554,3,3,1,5,3
0.2158756405115127,2,3,9,8,2
0.2013327479362487,8,4,3,9,8
0.142346903681755,7,3,3,7,7
0.2603540420532226,4,3,1,3,4
0.1876854598522186,4,3,8,3,4
0.1238002628087997,1,4,4,0,1
0.1869422495365142,2,3,4,8,2
0.1331826448440551,8,3,2,6,8
0.5387611389160156,1,4,3,7,1
0.1559460461139679,6,3,5,9,6
0.0932014063000679,2,3,3,4,2
0.0535773001611232,3,3,1,8,3
0.2156260907649994,6,3,5,7,6
0.3221637308597564,3,4,8,6,3
0.5758605599403381,4,8,1,2,4
0.3876485228538513,2,4,9,4,2
0.2302187532186508,5,4,1,5,5
0.206207126379013,8,4,9,5,8
0.1228531748056411,1,3,4,6,1
0.0832837224006652,6,4,6,8,6
0.1110902726650238,2,3,7,6,2
0.1442836821079254,3,4,5,5,3
0.4411083459854126,7,4,7,4,7
0.4697559773921966,9,4,5,5,9
0.1090286821126937,5,4,6,10,5
0.2220696657896042,3,3,5,5,3
0.621736466884613,2,3,3,4,2
0.4246224164962768,2,4,7,3,2
0.4826351404190063,2,4,7,3,2
0.1220299825072288,6,3,0,7,6
0.1112949475646019,2,4,7,4,2
0.3632316887378692,2,4,7,5,2
0.0761835947632789,5,3,3,8,5
0.2187651693820953,1,4,4,6,1
0.192126989364624,5,4,3,6,5
0.1932096034288406,4,4,6,2,4
0.0960585102438926,7,2,2,4,7
0.3630539178848266,8,4,9,8,8
0.3831210434436798,9,3,4,6,9
0.1072428748011589,6,4,5,7,6
0.084038071334362,0,3,6,8,0
0.1404320299625396,1,5,7,3,1
0.2327070832252502,2,4,7,8,2
0.2910519540309906,4,4,1,3,4
0.1090025007724762,5,3,3,6,5
0.1552188992500305,6,3,4,3,6
0.1761762350797653,5,4,6,4,5
0.1663034707307815,2,3,7,8,2
0.1285764724016189,1,3,4,5,1
0.1587894558906555,3,2,5,6,3
0.2951680123806,2,3,9,7,2
0.137441948056221,1,4,4,0,1
0.0613440684974193,4,3,0,4,4
0.3344383537769317,6,4,5,4,6
0.6538293957710266,3,5,7,4,3
0.0934591442346572,8,4,6,5,8
0.4663459062576294,4,4,2,2,4
0.4498085081577301,3,5,7,4,3
0.2102540582418441,1,4,4,7,1
0.2760041952133178,4,4,6,3,4
0.193997249007225,4,4,1,3,4
0.2064216583967209,2,4,9,3,2
0.1718096584081649,6,3,5,2,6
0.0689087659120559,4,2,1,3,4
0.1702035069465637,4,4,6,4,4
0.1123919337987899,1,4,7,0,1
0.1444543302059173,1,5,7,6,1
0.3188377022743225,1,5,7,4,1
0.3242136836051941,7,4,2,4,7
0.0429910421371459,3,3,7,8,3
0.0569585561752319,1,3,4,0,1
0.2575832307338714,2,4,4,7,2
0.3012814819812774,0,3,6,5,0
0.1434114426374435,4,20,4,8,4
0.1997124850749969,2,20,2,5,2
0.6540204286575317,2,4,4,6,2
0.7817601561546326,5,4,9,6,5
0.3524409532546997,1,4,4,7,1
0.4880382418632507,2,4,7,6,2
0.1839947700500488,9,3,3,5,9
0.0768721029162406,2,3,3,6,2
0.105927899479866,0,3,9,11,0
0.2366173565387725,4,4,9,5,4
0.4692702889442444,1,4,4,7,1
0.1728654652833938,0,4,9,7,0
0.2243371456861496,3,4,8,5,3
0.3737062811851501,2,4,4,5,2
0.1576537191867828,7,4,3,8,7
0.1014086902141571,2,3,3,6,2
0.066549003124237,4,3,2,7,4
0.1864072233438491,4,2,2,4,4
0.1529743820428848,6,2,8,6,6
0.097847118973732,8,3,3,10,8
0.0804469287395477,1,4,7,3,1
0.1624258756637573,7,2,2,5,7
0.1609388887882232,1,4,4,3,1
0.3376621901988983,0,4,6,4,0
0.4436623752117157,3,4,8,4,3
0.1672226190567016,9,4,3,9,9
0.1605155915021896,1,4,7,0,1
0.0995520129799842,3,3,5,4,3
0.2221437692642212,5,3,3,3,5
0.0536469742655754,9,2,3,18,9
0.1793304681777954,3,3,5,4,3
0.1777792423963546,1,3,2,6,1
0.1618310213088989,1,4,7,9,1
0.3460229933261871,1,3,3,7,1
0.5275431871414185,1,8,1,6,1
0.3321513235569,3,4,5,6,3
0.1814278066158294,7,3,1,9,7
0.0772263184189796,5,3,3,5,5
0.1740199923515319,6,3,8,5,6
0.3225895166397095,2,4,4,4,2
0.1682047247886657,1,4,4,4,1
0.0631267577409744,5,3,6,8,5
0.2772012650966644,1,4,4,4,1
0.2866499722003937,1,4,4,6,1
0.1809859573841095,2,4,9,9,2
0.1131890714168548,4,3,9,4,4
0.0787112042307853,7,3,3,9,7
0.2101902961730957,5,2,3,7,5
0.1421412080526352,3,4,2,5,3
0.4882156550884247,2,5,7,6,2
0.6380606293678284,4,5,4,4,4
0.4233358204364776,3,4,7,4,3
0.4066051542758941,2,5,1,4,2
0.2490553110837936,9,2,5,6,9
0.1113522946834564,5,2,3,5,5
0.0484071485698223,8,3,5,7,8
0.1114420965313911,9,4,2,8,9
0.1885542273521423,5,2,6,6,5
0.1507529318332672,1,3,4,0,1
0.1259711384773254,0,4,7,9,0
0.1706772893667221,5,3,3,8,5
0.0854782238602638,4,2,1,8,4
0.1403546035289764,2,3,7,3,2
0.0563281588256359,4,3,2,6,4
0.1206841990351677,4,4,1,8,4
0.0503647737205028,3,3,2,6,3
0.1089319437742233,1,2,3,6,1
0.1446975171566009,2,4,1,3,2
0.3705892562866211,3,5,7,5,3
0.0764036178588867,8,20,8,5,8
0.0875120013952255,6,3,8,6,6
0.2614515721797943,1,4,4,0,1
0.3559983372688293,5,4,6,6,5
0.0749374032020568,3,4,5,5,3
0.2040841430425644,3,20,3,4,3
0.2289008349180221,3,20,3,5,3
0.1260651499032974,1,3,4,10,1
0.0954077914357185,8,3,3,9,8
0.0573625564575195,9,3,2,8,9
0.0586312189698219,8,3,6,6,8
0.1059550791978836,7,3,1,7,7
0.1537588834762573,3,3,5,6,3
0.1853630989789962,9,4,2,6,9
0.3592992722988128,1,3,3,4,1
0.2240693569183349,3,4,2,5,3
0.167516216635704,8,4,6,5,8
0.1535988301038742,1,4,4,11,1
0.1320501118898391,9,4,2,10,9
0.5115251541137695,2,4,9,3,2
0.2453006953001022,2,4,4,7,2
0.2697945833206177,2,4,9,3,2
0.0706554800271987,2,4,9,4,2
0.2476836442947387,7,4,5,2,7
0.2368565946817398,4,4,9,2,4
0.4048106670379638,4,4,1,3,4
0.1143936067819595,5,3,6,4,5
0.0296088065952062,6,3,5,9,6
0.101616233587265,0,3,1,9,0
0.2738910317420959,3,2,8,4,3
0.0622591786086559,1,3,4,0,1
0.0647740960121154,7,3,2,7,7
0.1320988684892654,3,4,2,6,3
0.2832604348659515,5,2,3,5,5
0.3635923266410827,1,5,4,0,1
0.1121676489710807,7,3,2,4,7
0.2601208388805389,5,4,3,3,5
0.3977710604667663,1,4,4,5,1
0.3043334484100342,8,3,3,5,8
0.4440743923187256,1,4,7,8,1
0.3815464079380035,6,4,0,6,6
0.7799427509307861,4,4,1,2,4
0.2350710779428482,1,3,3,0,1
0.1481334120035171,9,4,0,8,9
0.0811848789453506,3,3,5,10,3
0.4046173691749573,3,4,7,5,3
0.2273108661174774,5,4,6,7,5
0.2984909415245056,1,4,4,4,1
0.2970727086067199,7,3,2,4,7
0.1800913363695144,1,4,4,4,1
0.3264234364032745,2,4,3,3,2
0.2750168144702911,1,5,4,0,1
0.1248714849352836,0,3,1,9,0
0.1498530507087707,4,2,6,3,4
0.1492560803890228,4,2,1,2,4
0.1074431464076042,1,4,7,4,1
0.1576138883829116,8,3,3,3,8
0.1037288606166839,3,4,2,5,3
0.1676761507987976,6,3,5,6,6
0.1225708872079849,1,4,4,6,1
0.1317300796508789,2,3,3,6,2
0.2431801110506057,0,4,6,6,0
0.4214969575405121,2,4,4,3,2
0.1099976450204849,1,4,4,0,1
0.2507872581481933,0,4,1,8,0
0.4356070160865783,9,4,8,6,9
0.1425734311342239,5,3,3,10,5
0.1998475342988968,3,20,2,8,3
0.1412991136312484,3,20,3,7,3
0.114882580935955,5,20,6,8,5
0.2605180442333221,7,5,5,5,7
0.2727601230144501,1,5,7,6,1
0.1014051213860511,0,3,2,10,0
0.1507827639579773,4,4,1,8,4
0.5418205857276917,1,5,4,4,1
0.632390558719635,4,4,1,3,4
0.2884801626205444,1,4,4,6,1
0.3584451675415039,4,4,1,3,4
0.1045399233698844,5,4,7,9,5
0.1340264528989792,2,4,9,5,2
0.5774354934692383,2,5,9,2,2
0.3543517291545868,3,4,2,3,3
0.1984415203332901,0,2,8,6,0
0.1373705118894577,6,2,8,6,6
0.0741747096180915,3,3,8,4,3
0.1030876040458679,9,3,8,9,9
0.5460771322250366,1,5,4,1,1
0.2040520161390304,8,3,6,8,8
0.3317747116088867,7,4,2,5,7
0.1207006052136421,1,3,4,8,1
0.0872562229633331,3,3,7,5,3
0.273747444152832,1,4,4,6,1
0.1442377120256424,9,4,0,6,9
0.2039967477321624,3,3,8,6,3
0.2899574935436249,2,4,9,3,2
0.06665800511837,5,3,3,7,5
0.1686511486768722,1,3,0,5,1
0.0633029192686081,3,4,7,6,3
0.5374975204467773,4,4,2,3,4
0.3271960020065307,8,4,6,5,8
0.0813000574707984,3,3,5,3,3
0.0796525776386261,4,3,6,3,4
0.23564513027668,2,4,7,3,2
0.0753047987818718,1,2,9,3,1
0.1011262759566307,3,2,5,10,3
0.2025301307439804,2,4,9,4,2
0.0943094566464424,3,2,5,8,3
0.2557745277881622,5,3,6,5,5
0.1857760548591613,1,4,7,5,1
0.2043662816286087,1,4,4,5,1
0.1569948047399521,3,3,5,8,3
0.4729109108448028,5,5,5,3,5
0.1913436204195022,8,4,0,4,8
0.0991803705692291,1,3,0,9,1
0.4564977288246155,7,4,3,5,7
0.1049413084983825,6,3,5,6,6
0.2212684899568557,5,4,6,6,5
0.1170913204550743,6,3,5,7,6
0.0819339454174041,4,3,1,9,4
0.3091606199741363,1,4,7,0,1
0.2464954853057861,0,3,8,8,0
0.0751512572169303,8,2,3,7,8
0.0456813909113407,8,3,3,10,8
0.0880099833011627,1,3,6,13,1
0.0512736551463604,3,2,5,8,3
0.0518638342618942,6,3,8,6,6
0.108796589076519,8,3,3,6,8
0.0632949769496917,4,4,6,2,4
0.1069011390209198,1,4,4,3,1
0.1795365512371063,7,4,7,4,7
0.3433462679386139,4,4,1,3,4
0.2661365866661072,9,4,3,5,9
0.2427961230278015,8,4,9,7,8
0.3807202577590942,4,4,1,2,4
0.1905172318220138,4,4,1,2,4
0.0784735679626464,9,4,0,4,9
0.2817017734050751,6,5,0,5,6
0.1049461737275123,8,3,3,5,8
0.266899824142456,2,4,4,4,2
0.6807082891464233,1,6,7,0,1
0.4184027910232544,0,4,9,6,0
0.2380845099687576,4,3,6,4,4
0.1011744812130928,6,3,1,5,6
0.5325769782066345,2,5,7,4,2
0.2441732734441757,8,4,3,5,8
0.0833590999245643,9,3,2,7,9
0.0688670650124549,3,3,1,8,3
0.0589422173798084,9,3,0,10,9
0.0491206012666225,4,3,3,9,4
0.1404286175966262,4,3,6,4,4
0.4180253744125366,1,4,7,4,1
0.4152065515518188,1,4,7,6,1
0.2269133180379867,9,4,4,5,9
0.1896921545267105,5,3,6,4,5
0.1177354827523231,3,4,2,6,3
0.0980556085705757,3,4,7,11,3
0.138286679983139,2,4,4,3,2
0.0562024004757404,5,4,5,7,5
0.2306808978319168,1,9,1,2,1
0.0534162931144237,8,3,3,6,8
0.3333024084568023,1,4,4,0,1
0.1774167865514755,5,2,3,4,5
0.1416711807250976,3,2,5,5,3
0.3893845379352569,0,5,0,6,0
0.3935920596122741,0,4,9,4,0
0.3518027067184448,4,20,4,1,4
0.2058566659688949,7,4,2,3,7
0.2396518141031265,2,4,7,3,2
0.2197511345148086,8,2,6,5,8
0.1931414306163787,6,2,8,5,6
0.0570942871272563,3,3,5,4,3
0.1986932605504989,3,2,5,4,3
0.0879725068807601,2,3,7,15,2
0.0876391232013702,0,2,8,13,0
0.0556162856519222,7,3,1,11,7
0.2027231454849243,1,4,7,10,1
0.2124466300010681,9,4,2,5,9
0.344143807888031,2,5,4,3,2
0.3169077038764953,7,4,3,5,7
0.3942811489105224,6,4,0,6,6
0.4740710854530334,5,3,6,5,5
0.4197230339050293,7,4,2,4,7
0.2923379838466644,2,4,4,3,2
0.1731361746788025,9,4,5,4,9
0.172195702791214,1,4,4,0,1
0.2612015902996063,2,4,7,5,2
0.1814004629850387,0,3,6,10,0
0.1270107328891754,8,3,3,6,8
0.2647009193897247,8,4,3,5,8
0.8111222386360168,5,4,6,9,5
0.2840938866138458,3,4,8,4,3
0.3838274776935577,5,4,6,5,5
0.3261348009109497,6,5,0,6,6
0.3515799045562744,0,5,1,6,0
0.1002602577209472,5,4,6,15,5
0.3003346621990204,1,4,4,8,1
0.495406836271286,7,4,1,8,7
0.3228736817836761,6,4,8,8,6
0.0547114685177803,7,20,3,9,7
0.0966875404119491,5,3,6,7,5
0.1019791588187217,4,2,1,7,4
0.1962805539369583,1,4,4,0,1
0.1793350577354431,5,2,3,5,5
0.087572194635868,2,2,9,10,2
0.0809274464845657,8,3,2,10,8
0.1712942123413086,2,2,4,4,2
0.6918395161628723,4,5,1,2,4
0.2844760715961456,2,4,7,4,2
0.2364484369754791,7,4,1,6,7
0.1568694710731506,6,2,8,8,6
0.2519418597221374,4,3,1,2,4
0.3577113449573517,1,4,7,6,1
0.1393816471099853,9,4,2,6,9
0.2199553251266479,2,4,1,2,2
0.128484845161438,1,4,4,0,1
0.1333467364311218,1,4,4,3,1
0.1251996159553527,1,4,4,6,1
0.0417298153042793,5,3,6,6,5
0.055298700928688,9,3,5,5,9
0.1504410207271576,5,4,3,4,5
0.3209919035434723,6,4,0,3,6
0.1048567220568656,8,3,3,10,8
0.0615008659660816,5,2,3,8,5
0.1257147341966629,1,4,4,8,1
0.083546258509159,5,2,3,5,5
0.0913703441619873,8,3,3,7,8
0.5585441589355469,2,20,4,6,2
0.1949398666620254,1,20,1,6,1
0.1019388660788536,2,3,4,4,2
0.491863489151001,5,4,6,7,5
0.144561693072319,1,4,6,8,1
0.2387964576482772,7,3,2,3,7
0.3835679590702057,4,4,9,2,4
0.5567481517791748,2,5,4,5,2
0.4039851725101471,3,4,2,5,3
0.2068958133459091,7,3,2,5,7
0.3070893585681915,3,4,2,5,3
0.4642912447452545,4,5,1,3,4
0.4379833042621612,2,4,7,6,2
0.1643924415111541,1,3,4,6,1
0.2687247991561889,2,4,4,3,2
0.0872432738542556,8,4,6,5,8
0.1865801960229873,0,4,9,4,0
0.3569854497909546,0,5,6,4,0
0.1380844712257385,2,4,7,4,2
0.0455210991203784,5,3,6,4,5
0.0661553815007209,6,3,5,5,6
0.1971738189458847,1,4,7,2,1
0.1172075420618057,3,4,7,9,3
0.1338572055101394,0,4,6,9,0
0.1791981011629104,1,4,0,3,1
0.321488618850708,9,4,2,3,9
0.4474522471427917,4,4,8,2,4
0.2071489691734314,5,2,3,5,5
0.0519316606223583,9,3,5,6,9
0.0611155442893505,2,3,7,4,2
0.0564985908567905,6,3,4,6,6
0.0979560315608978,1,3,3,7,1
0.2314240336418151,5,4,6,7,5
0.123680830001831,9,3,5,6,9
0.131057396531105,3,3,8,4,3
0.2698105275630951,1,4,4,6,1
0.1911234259605407,4,4,1,3,4
0.3279746472835541,3,2,8,4,3
0.3753075301647186,1,5,0,4,1
0.0864262208342552,2,3,3,6,2
0.382597804069519,1,5,4,0,1
0.2256249636411667,3,3,2,6,3
0.4372294247150421,1,4,3,6,1
0.1164996922016143,6,3,5,8,6
0.1301327049732208,2,4,9,5,2
0.0608982034027576,9,3,8,7,9
0.1032901331782341,7,3,2,3,7
0.1010082066059112,2,3,3,9,2
0.1155296191573143,0,3,9,9,0
0.354731023311615,3,4,9,6,3
0.3439477980136871,1,4,1,4,1
0.1904328316450119,8,3,3,6,8
0.264640212059021,2,2,9,6,2
0.0798152908682823,3,3,1,10,3
0.1583788841962814,1,20,1,4,1
0.2656849324703216,0,20,0,7,0
0.2319498062133789,5,7,5,8,5
0.1750304400920868,2,4,7,9,2
0.1172614470124244,4,3,1,9,4
0.1224624589085578,1,4,4,6,1
0.6137431859970093,4,4,2,2,4
0.1269101947546005,4,3,8,6,4
0.0517740026116371,9,2,2,8,9
0.2665072679519653,4,4,6,3,4
0.1296611875295639,9,20,0,6,9
0.2460411339998245,1,4,4,5,1
0.1769647598266601,1,3,4,5,1
0.1856126487255096,1,9,4,7,1
0.0269961487501859,9,3,0,6,9
0.3741529881954193,1,4,7,6,1
0.1153559908270835,8,4,6,6,8
0.3658889234066009,8,4,3,4,8
0.1971279978752136,2,4,2,2,2
0.3303329646587372,6,4,0,8,6
0.0567845553159713,2,20,2,6,2
0.1013961508870124,7,4,0,7,7
0.133025512099266,2,3,3,6,2
0.0676676034927368,9,20,9,12,9
0.5398005843162537,1,4,4,5,1
0.0790205895900726,8,3,3,5,8
0.1458580642938614,3,4,2,5,3
0.0847293511033058,0,3,7,9,0
0.1074906289577484,2,4,3,7,2
0.1226689219474792,2,3,8,7,2
0.0782170891761779,8,20,8,7,8
0.0793171674013137,0,3,8,6,0
0.2065282016992569,2,4,7,3,2
0.4142149984836578,1,5,7,0,1
0.0619411543011665,8,3,6,8,8
