ddbs,gt,steps_to_atk,predictions,Flipping_Freq,Model_preds
2.842268943786621,0,1,23,27,0
2.769134283065796,0,1,17,22,0
2.922874927520752,0,2,17,21,0
2.882057905197144,0,1,127,25,0
2.810774564743042,0,1,191,19,0
2.791362762451172,0,1,43,27,0
2.891972780227661,0,1,46,18,0
2.8593785762786865,0,1,130,19,0
2.6889290809631348,0,1,189,29,0
2.762056589126587,0,1,181,24,0
2.70169997215271,0,1,48,20,0
2.874835729598999,0,1,13,25,0
2.665563106536865,0,1,194,22,0
2.8088269233703613,0,1,174,21,0
2.94812560081482,0,1,11,29,0
2.920153856277466,0,1,155,23,0
2.9024486541748047,0,1,185,27,0
2.56518816947937,0,1,26,27,0
2.914088726043701,0,1,196,31,0
2.8475165367126465,0,1,186,19,0
2.668821334838867,0,1,151,29,0
2.7770111560821533,0,1,46,26,0
2.904115915298462,0,2,76,27,0
2.863163948059082,0,2,47,17,0
2.732447385787964,0,1,13,18,0
2.7217001914978027,0,1,83,29,0
2.8615779876708984,0,1,42,28,0
2.6996397972106934,0,1,187,21,0
2.817034244537353,0,1,91,31,0
2.822472095489502,0,1,189,31,0
2.9151651859283447,0,1,189,22,0
2.745918273925781,0,2,17,30,0
2.7921462059021,0,1,174,25,0
2.778838396072388,0,1,110,12,0
2.7320001125335693,0,2,104,24,0
2.993321180343628,0,1,17,31,0
2.87225604057312,0,1,185,18,0
2.7865047454833984,0,1,185,21,0
2.807354211807251,0,1,45,26,0
2.831822395324707,0,1,46,29,0
2.684588432312012,0,1,17,30,0
2.6660451889038086,0,1,11,18,0
2.7516214847564697,0,1,17,24,0
2.7439968585968018,0,1,63,21,0
2.9482977390289307,0,1,168,31,0
2.9543492794036865,0,1,192,28,0
2.744433879852295,0,1,29,31,0
2.663970232009888,0,1,69,22,0
2.86141037940979,0,1,74,31,0
2.709779024124145,0,1,58,31,0
2.9722583293914795,0,2,59,31,0
2.755814552307129,0,2,28,27,0
2.591249942779541,0,1,58,23,0
2.641373634338379,0,1,163,22,0
2.8777263164520264,0,1,174,31,0
2.8067455291748047,0,1,17,26,0
2.833310604095459,0,1,185,21,0
2.805337190628052,0,1,58,21,0
2.8161563873291016,0,1,163,26,0
2.648879051208496,0,1,194,19,0
2.9211223125457764,0,1,168,23,0
2.578099012374878,0,1,175,31,0
2.854999542236328,0,2,185,19,0
2.658059597015381,0,1,125,24,0
2.970443725585937,0,1,14,28,0
2.9507944583892822,0,1,184,31,0
2.7090578079223637,0,2,163,18,0
2.868544816970825,0,1,185,31,0
2.8552048206329346,0,1,19,22,0
2.876113176345825,0,2,17,26,0
2.6959879398345947,0,1,63,28,0
2.7259700298309326,0,1,17,20,0
2.812419414520264,0,1,191,22,0
2.736926317214966,0,1,64,26,0
2.696033477783203,0,1,107,16,0
2.7105014324188232,0,1,13,15,0
2.8550920486450195,0,3,181,11,0
2.6652865409851074,0,1,130,16,0
2.934558391571045,0,2,169,20,0
2.7921996116638184,0,2,47,17,0
2.8628897666931152,0,1,184,22,0
2.84848690032959,0,2,47,16,0
2.693723440170288,0,2,13,16,0
2.88967227935791,0,2,21,21,0
2.7766125202178955,0,2,188,16,0
2.8385818004608154,0,2,112,24,0
2.697974920272827,0,1,17,28,0
2.545906782150269,0,2,188,24,0
2.5809383392333984,0,1,187,22,0
2.7408342361450195,0,2,58,20,0
2.86002254486084,0,1,168,31,0
2.8284237384796143,0,2,161,22,0
2.894494771957397,0,2,36,23,0
2.7655882835388184,0,1,9,25,0
2.748743772506714,0,1,45,18,0
2.698378562927246,0,2,188,20,0
2.643789052963257,0,1,143,20,0
2.7299625873565674,0,1,46,30,0
2.817957878112793,0,1,17,31,0
2.886758089065552,0,2,188,18,0
2.754405975341797,0,2,182,21,0
2.954782485961914,0,1,142,23,0
2.9402921199798584,0,1,121,26,0
2.8082528114318848,0,1,43,31,0
2.7658722400665283,0,1,13,18,0
2.8946011066436768,0,2,182,20,0
2.78715443611145,0,2,36,19,0
2.677558898925781,0,3,180,19,0
2.6887593269348145,0,1,13,12,0
2.834911346435547,0,1,144,20,0
2.790130853652954,0,1,192,20,0
2.855966329574585,0,2,197,18,0
2.8483104705810547,0,2,185,15,0
2.7976315021514893,0,1,159,20,0
2.875946521759033,0,1,174,31,0
2.7588210105896,0,1,152,23,0
2.917083978652954,0,2,182,25,0
2.567976713180542,0,1,180,20,0
2.820230007171631,0,1,18,28,0
2.79008412361145,0,2,64,20,0
2.823099136352539,0,1,187,30,0
2.971329689025879,0,1,176,31,0
2.8681445121765137,0,1,46,17,0
2.892113447189331,0,2,161,22,0
2.926986694335937,0,1,17,14,0
2.9057345390319824,0,2,185,22,0
2.795583963394165,0,1,6,25,0
2.8693268299102783,0,1,83,20,0
2.7088098526000977,0,1,189,15,0
2.8355467319488525,0,1,46,31,0
2.932126522064209,0,1,17,18,0
2.9529061317443848,0,1,185,30,0
2.8665151596069336,0,1,31,28,0
2.631219387054444,0,2,137,18,0
2.8419511318206787,0,1,113,15,0
2.8169174194335938,0,1,18,15,0
2.8643453121185303,0,1,163,30,0
2.6398158073425293,0,1,13,20,0
2.7078559398651123,0,2,169,20,0
2.881978273391724,0,1,142,31,0
2.91063928604126,0,1,13,28,0
2.930541753768921,0,1,58,24,0
2.757549524307251,0,1,13,17,0
2.7696595191955566,0,2,104,28,0
2.8915822505950928,0,1,17,28,0
2.9086642265319824,0,1,187,31,0
2.682444334030152,0,2,46,22,0
2.7962212562561035,0,2,58,16,0
2.873617172241211,0,1,185,31,0
2.802182674407959,0,1,58,19,0
2.725115776062012,0,1,79,20,0
2.7123141288757324,0,1,54,31,0
2.727413415908813,0,1,163,18,0
2.9871835708618164,0,1,129,31,0
2.889478921890259,0,2,26,27,0
2.8086013793945312,0,1,31,31,0
2.8421449661254883,0,1,188,27,0
2.882251501083374,0,2,46,14,0
2.879969358444214,0,1,181,22,0
2.7929670810699463,0,1,187,21,0
2.856307029724121,0,1,104,30,0
2.867938041687012,0,1,46,26,0
2.803514242172241,0,1,16,19,0
2.960085868835449,0,1,185,20,0
2.797158479690552,0,1,46,29,0
2.8786189556121826,0,1,17,27,0
2.9260149002075195,0,1,21,30,0
2.8457071781158447,0,1,196,27,0
2.5993032455444336,0,1,13,26,0
2.734005689620972,0,1,196,26,0
2.688917875289917,0,2,60,21,0
2.8384318351745605,0,1,185,29,0
2.9706366062164307,0,2,102,22,0
2.874669313430786,0,1,26,30,0
2.8405909538269043,0,1,88,26,0
2.8731400966644287,0,1,181,20,0
2.444073438644409,0,1,175,24,0
2.738818407058716,0,1,36,24,0
2.860548257827759,0,1,185,21,0
2.748942852020264,0,1,190,30,0
2.78362774848938,0,1,17,20,0
2.780401945114136,0,1,186,17,0
2.861377477645874,0,2,38,26,0
2.9461519718170166,0,1,137,31,0
2.711963176727295,0,1,168,18,0
2.735526323318481,0,1,47,22,0
2.8118574619293213,0,1,90,16,0
2.942141056060791,0,1,17,31,0
2.822413206100464,0,1,48,23,0
2.8110077381134038,0,1,69,30,0
2.793182134628296,0,1,172,23,0
2.8111557960510254,0,1,47,20,0
2.778965473175049,0,1,46,26,0
2.7714550495147705,0,1,178,20,0
2.7911860942840576,0,2,106,18,0
2.8456850051879883,0,2,18,24,0
2.868917465209961,0,2,16,21,0
2.709335327148437,0,1,99,31,0
2.9579224586486816,0,2,26,23,0
2.9284729957580566,0,1,58,31,0
2.757793426513672,0,2,159,21,0
2.9715890884399414,0,1,38,31,0
2.647368669509888,0,1,13,19,0
2.871304988861084,0,1,46,31,0
2.6892902851104736,0,1,23,28,0
2.5572845935821533,0,1,186,19,0
