ddbs,gt,steps_to_atk,predictions
0.13017162680625916,1,3,7
0.42188289761543274,9,5,0
1.2971121072769165,2,12,1
0.6058257222175598,3,20,8
0.0890602394938469,2,3,3
0.14820998907089233,5,5,1
0.17734476923942566,9,2,3
0.1467237025499344,3,2,5
0.2509008049964905,3,3,9
0.12692660093307495,1,2,7
0.18553142249584198,3,3,5
0.09040829539299011,3,3,1
0.20641694962978363,2,4,9
0.47321271896362305,8,5,2
0.3079952001571655,7,5,1
0.4276333749294281,4,5,1
0.3436909317970276,4,20,6
0.23145809769630432,1,5,6
0.22636929154396057,2,4,9
0.21944545209407806,8,4,5
0.6560342907905579,1,3,4
0.43431219458580017,6,5,4
0.11044713109731674,2,3,1
0.07927669584751129,3,3,5
0.3345533013343811,6,4,3
0.4279298484325409,3,5,7
0.6843926906585693,4,7,1
0.699198842048645,2,6,1
0.49168938398361206,5,5,9
0.49430158734321594,8,20,9
0.0878218337893486,1,4,2
0.048005055636167526,6,3,8
0.23648743331432343,2,4,0
0.11285823583602905,3,4,1
0.6238490343093872,7,5,4
0.48315492272377014,9,4,0
0.16417554020881653,5,2,3
0.27113431692123413,3,4,7
0.8574214577674866,2,6,3
0.9555082321166992,2,7,3
0.7319160103797913,2,5,0
0.1320311278104782,6,4,0
0.12636461853981018,2,4,7
0.6862837076187134,2,9,0
0.11341533809900284,5,3,3
0.4256632328033447,1,5,8
0.26654136180877686,5,4,6
0.34607598185539246,4,5,5
0.07327486574649811,7,4,3
0.636817455291748,8,3,6
0.8580060005187988,9,5,8
0.22010737657546997,6,3,5
0.3104853928089142,0,2,6
0.21791324019432068,1,4,0
0.5036542415618896,2,7,4
0.4971911907196045,4,6,6
0.11236347258090973,5,4,9
0.09719572961330414,6,4,5
0.3074035346508026,5,3,3
0.2744826078414917,2,4,7
0.18614648282527924,1,5,4
0.5440884828567505,3,4,7
0.2743738889694214,2,3,5
0.2662278413772583,1,5,4
0.11255732923746109,4,4,9
0.3977188467979431,6,5,4
0.5467418432235718,3,3,8
0.24014392495155334,8,5,6
0.5096318125724792,4,7,4
0.34079062938690186,3,5,1
0.2348189800977707,1,3,4
0.4246481657028198,4,6,6
0.2931795120239258,4,4,1
0.5192321538925171,2,7,5
0.2973208427429199,6,4,5
0.3014644682407379,4,4,1
0.3667130768299103,4,3,7
0.17940253019332886,1,4,7
0.16153064370155334,1,4,7
0.39096391201019287,1,5,4
0.4771864116191864,7,5,3
0.06389227509498596,3,3,1
0.18078270554542542,1,4,0
0.6719831228256226,2,8,1
0.43268656730651855,0,4,2
0.21360507607460022,4,4,1
0.4619281589984894,2,20,6
1.4878119230270386,2,6,6
1.3742759227752686,5,9,5
0.4056256115436554,1,6,4
0.8281338214874268,2,8,2
0.5761595964431763,9,4,8
0.23000232875347137,2,3,3
0.17464332282543182,0,3,4
0.3583883047103882,4,5,9
0.7470037937164307,1,5,6
0.6093617677688599,0,3,9
0.3682419955730438,3,4,8
0.5819923877716064,2,8,4
0.34658172726631165,7,6,1
0.1202516034245491,2,4,4
0.074128158390522,4,3,2
0.2989239990711212,4,4,2
0.5868489146232605,6,5,5
0.5386817455291748,8,6,9
0.191031813621521,1,5,7
0.35417258739471436,7,5,2
0.33441856503486633,1,5,6
0.5912439823150635,0,5,2
0.6607483625411987,3,5,1
0.5278927087783813,9,7,5
0.4548586905002594,1,9,7
0.28372102975845337,3,4,5
0.2931442856788635,5,4,6
0.10490725189447403,9,2,3
0.17422692477703094,3,2,5
0.28333580493927,1,4,7
0.15744832158088684,1,5,1
0.44565102458000183,1,4,0
0.9301603436470032,1,9,1
0.818417489528656,3,7,5
0.21312367916107178,7,4,1
0.14368493854999542,5,2,3
0.5292887091636658,6,5,5
0.23960603773593903,2,4,4
0.16967566311359406,1,3,3
0.09858482331037521,5,3,6
0.41511431336402893,1,5,4
0.36636433005332947,1,4,7
0.7258253693580627,2,4,8
0.30562055110931396,4,4,5
0.12235569208860397,7,4,2
0.26026538014411926,5,4,6
0.2951412498950958,3,5,2
0.4655739963054657,2,6,1
0.3848559558391571,4,4,1
0.7937596440315247,3,6,7
0.5539413094520569,2,8,2
0.4137146472930908,9,5,0
0.2053762674331665,5,3,6
0.2919852137565613,8,4,6
0.23473086953163147,9,3,5
0.2966785430908203,5,4,6
0.28659942746162415,1,3,4
0.22385184466838837,0,5,2
0.5053207278251648,5,5,1
0.19004075229167938,4,3,1
0.16777217388153076,2,3,5
0.13105733692646027,4,2,1
0.18631449341773987,4,4,1
0.0822664201259613,3,3,0
0.1304876059293747,1,2,3
0.3145124614238739,2,4,4
0.4946337640285492,3,6,1
0.10964033752679825,8,3,3
0.2438250035047531,6,4,8
0.2680959403514862,1,4,4
0.5622284412384033,5,5,6
0.05434516817331314,3,3,2
0.5975863337516785,3,20,1
0.9033247828483582,3,12,1
0.14133451879024506,1,3,8
0.13886068761348724,8,3,6
0.10143730044364929,9,2,1
0.10511185973882675,8,2,6
0.2741139829158783,7,5,1
0.40260276198387146,3,5,0
0.6658617854118347,9,5,4
0.4726905822753906,1,4,3
0.5248026847839355,3,5,8
0.46189823746681213,8,3,9
0.077157162129879,1,4,2
0.35407209396362305,9,4,4
0.9933939576148987,2,7,4
0.49805593490600586,2,6,9
0.21923068165779114,2,3,9
0.16715821623802185,2,4,1
0.3951757550239563,7,6,1
0.30061760544776917,4,4,5
0.42312008142471313,4,4,1
0.2308196872472763,5,3,6
0.06440813094377518,6,3,5
0.22783446311950684,0,4,1
0.3743717670440674,3,5,2
0.10536691546440125,1,4,2
0.09834136813879013,7,4,2
0.22499920427799225,3,3,2
0.3964318335056305,5,5,6
0.4800157845020294,1,5,0
0.2747814655303955,7,5,3
0.831507682800293,5,5,6
0.5359641909599304,1,7,2
0.5038596391677856,8,4,6
0.9020644426345825,1,8,4
0.5957629084587097,6,7,0
0.7918720841407776,4,6,7
0.12346845865249634,1,4,2
0.2241121232509613,9,3,8
0.1191691905260086,3,2,5
0.6468213796615601,3,6,3
0.4276987612247467,5,4,6
0.3263489007949829,1,5,9
0.2619704008102417,7,4,2
0.4622834622859955,1,7,1
0.735038697719574,2,5,5
0.41972604393959045,1,6,4
0.26325613260269165,0,4,1
0.1329701542854309,4,3,3
0.18238702416419983,4,3,3
0.2666204273700714,1,4,7
0.33192431926727295,8,5,3
0.18994970619678497,3,3,5
0.27102935314178467,6,2,5
0.23726452887058258,1,4,3
0.32335183024406433,2,4,7
0.6600251793861389,0,6,6
0.5046087503433228,2,8,5
0.30773934721946716,1,4,8
0.4980141222476959,0,5,1
0.47259774804115295,9,4,8
0.4180724024772644,5,2,3
0.5693433284759521,3,9,0
0.28561344742774963,3,3,9
0.2970026731491089,5,5,9
0.3786194324493408,7,7,1
0.18111689388751984,1,4,7
0.4572710692882538,0,4,2
0.23302708566188812,4,4,6
0.92032390832901,1,7,2
1.010732889175415,4,7,9
0.39109644293785095,1,5,2
0.3830970823764801,4,5,9
0.21226252615451813,5,2,3
0.3504895269870758,2,4,5
0.5920701622962952,2,5,3
0.34765803813934326,3,5,2
0.5296587944030762,0,4,1
0.12381045520305634,6,4,0
0.12882296741008759,3,2,8
0.21361912786960602,9,3,5
0.5085009336471558,1,6,4
0.45569145679473877,8,4,6
0.34768226742744446,7,5,1
0.17218290269374847,1,2,6
0.23440121114253998,3,3,7
0.31272146105766296,1,4,4
0.25979042053222656,9,3,5
0.30603456497192383,3,4,8
0.6883288025856018,2,6,4
0.07730624079704285,5,2,3
0.1564350426197052,1,3,3
0.12528841197490692,3,4,1
0.8040335774421692,4,6,1
0.6506941914558411,8,4,3
0.2055656611919403,3,4,2
0.15887770056724548,4,4,3
0.10471919924020767,2,4,7
0.09301288425922394,1,3,9
0.24752715229988098,3,5,4
0.33012619614601135,2,4,4
0.21262705326080322,3,4,6
0.6420640349388123,5,6,1
0.4768122732639313,1,5,5
0.1596008837223053,1,4,4
0.3524894416332245,3,3,5
0.4924069344997406,5,6,1
0.5841650366783142,8,4,6
0.21743489801883698,1,4,0
0.5034252405166626,7,4,3
0.18359537422657013,6,4,5
0.25297197699546814,5,2,3
0.10337524861097336,6,3,5
0.14849282801151276,4,3,1
0.5010692477226257,1,5,2
0.3891463875770569,0,3,8
0.4980866312980652,8,5,6
0.12828579545021057,8,2,4
0.11454024910926819,1,3,3
0.3072289228439331,3,3,5
0.08733879774808884,6,2,8
0.06515223532915115,8,3,5
0.09038777649402618,4,4,3
0.17663374543190002,1,4,4
0.36299067735671997,7,5,2
0.3808186948299408,4,4,1
0.31617361307144165,9,4,2
0.3757200539112091,8,6,6
0.6153433918952942,4,6,1
0.45859193801879883,4,6,0
0.0781414657831192,9,2,2
0.2950829565525055,6,4,0
0.19113312661647797,8,2,3
0.5443630218505859,2,8,0
0.7532702684402466,1,6,4
0.3750687539577484,0,3,8
0.4146842658519745,4,6,1
0.3228999078273773,6,4,0
0.7837462425231934,2,6,1
0.29704633355140686,8,4,2
0.1549016535282135,9,4,4
0.0922418013215065,3,3,5
0.08332372456789017,9,2,0
0.25848454236984253,4,3,3
0.21293556690216064,4,4,3
0.6135894060134888,1,5,7
0.40762659907341003,1,4,7
0.25682535767555237,9,4,2
0.2794247567653656,5,2,6
0.12651512026786804,3,4,9
0.1258675903081894,3,4,2
0.18480046093463898,2,5,5
0.0522482730448246,5,2,8
0.2830730974674225,1,5,4
0.056633081287145615,8,4,1
0.522179126739502,1,4,3
0.3858318328857422,5,5,6
0.43407854437828064,3,4,5
0.6850299835205078,0,5,9
0.6785874366760254,0,5,6
0.5553051829338074,4,5,3
0.1870657056570053,7,4,2
0.3499040901660919,2,7,5
0.2595857083797455,8,4,6
0.591390073299408,6,6,1
0.10208536684513092,3,4,1
0.359053373336792,3,4,8
0.1672276258468628,2,3,1
0.25967803597450256,0,4,7
0.21464134752750397,7,4,0
0.5314348936080933,1,5,7
0.2670654356479645,9,2,4
0.4188835620880127,2,7,1
0.5345657467842102,7,4,2
0.6497347354888916,6,4,5
0.7243154048919678,5,5,5
0.3405022621154785,7,4,9
0.26956477761268616,2,7,1
0.17019352316856384,9,4,3
0.31994032859802246,1,5,2
0.6729426383972168,2,7,1
0.442037969827652,0,3,6
0.34522610902786255,8,4,3
1.28507661819458,8,6,6
1.515354871749878,5,6,2
0.6373714804649353,3,6,1
0.44000983238220215,5,5,1
0.5639707446098328,6,5,0
0.5641379952430725,0,5,2
0.18865270912647247,5,3,6
0.7152926921844482,1,8,4
0.4954298436641693,7,7,1
0.5663376450538635,6,3,3
0.11956878006458282,7,4,1
0.2732160985469818,5,3,6
0.07121694087982178,4,3,5
0.35276296734809875,1,5,4
0.20397350192070007,5,4,6
0.33905550837516785,2,5,7
0.2900070250034332,8,3,3
0.1100224032998085,2,3,1
0.5627156496047974,4,20,4
0.7390902638435364,2,7,3
0.48634159564971924,7,5,1
0.34176531434059143,6,4,8
0.08490343391895294,4,3,6
0.32156577706336975,1,4,7
0.43408694863319397,9,4,8
0.2767796516418457,2,5,1
0.17484942078590393,1,4,4
0.18824350833892822,1,3,4
0.1628645360469818,1,4,3
0.05302044004201889,5,2,6
0.06490243971347809,9,3,5
0.20489628612995148,5,5,3
0.38668307662010193,6,4,4
0.3853740394115448,8,5,9
0.10999643802642822,5,2,6
0.17514771223068237,1,4,2
0.3384447693824768,5,5,9
0.22121591866016388,8,4,6
0.7258500456809998,2,20,8
0.35179847478866577,1,20,8
0.32026392221450806,2,5,3
0.6641181707382202,5,6,2
0.2074107974767685,1,4,4
0.36808961629867554,7,5,2
0.6091236472129822,4,5,2
0.6872308254241943,2,6,4
0.6981044411659241,3,5,1
0.6074345111846924,7,5,1
0.43815797567367554,3,3,8
0.46150097250938416,4,4,3
0.926757276058197,2,6,4
0.3219250440597534,1,4,8
0.5280540585517883,2,8,3
0.25847524404525757,8,4,3
0.5307855010032654,0,7,2
0.3137355148792267,0,5,6
0.0953151285648346,2,3,1
0.10608898103237152,5,5,3
0.09734092652797699,6,2,5
0.6132506132125854,1,5,2
0.14994490146636963,3,4,5
0.33981361985206604,0,4,9
0.30827105045318604,1,4,8
0.6148886680603027,9,4,4
0.46740347146987915,4,6,1
0.2468068152666092,5,4,6
0.19707754254341125,9,4,4
0.16829955577850342,2,3,7
0.08883634209632874,6,4,4
0.18248996138572693,1,2,3
0.44435393810272217,5,3,9
0.4386585056781769,9,3,5
0.20140212774276733,3,5,9
0.2213752567768097,1,7,4
0.4013119339942932,4,3,1
0.35253873467445374,3,5,5
0.211635559797287,1,4,0
0.17649975419044495,2,4,7
0.5266937613487244,1,5,8
0.24881571531295776,3,4,8
0.6946315169334412,1,6,5
0.17641763389110565,6,3,5
0.2809099853038788,2,6,1
0.059094153344631195,9,2,0
0.19856810569763184,7,2,9
0.253134548664093,2,4,3
0.2904706597328186,0,4,9
0.4276825189590454,3,5,0
0.29091933369636536,1,4,7
0.48746320605278015,8,4,3
0.45621374249458313,2,4,9
0.0721806064248085,3,3,1
