ddbs,gt,steps_to_atk,predictions
1.433021068572998,1,1,7
1.4199821949005127,9,2,0
1.4606735706329346,2,8,3
1.4484894275665283,3,3,8
1.3463053703308105,2,1,3
1.3224436044692993,5,1,1
1.3973150253295898,9,1,3
1.4235107898712158,3,1,5
1.4029189348220825,3,2,9
1.3689417839050293,1,1,7
1.367471694946289,3,2,1
1.3118667602539062,3,1,1
1.4774463176727295,2,1,9
1.4113867282867432,8,3,2
1.373677372932434,7,2,1
1.4195908308029175,4,2,1
1.4423125982284546,4,2,8
1.3789485692977905,1,2,4
1.4433443546295166,2,2,9
1.3950660228729248,8,1,9
1.4861633777618408,1,3,4
1.4924685955047607,6,2,4
1.3726650476455688,2,1,1
1.319416880607605,3,1,1
1.4541802406311035,6,2,3
1.451155662536621,3,3,7
1.4025403261184692,4,4,1
1.461633563041687,2,4,1
1.431617021560669,5,3,9
1.4324407577514648,8,3,9
1.3923015594482422,1,1,4
1.3923219442367554,6,1,2
1.3952380418777466,2,2,9
1.378305196762085,3,1,1
1.4794557094573975,7,4,2
1.4709330797195435,9,3,5
1.426071286201477,5,1,3
1.3893587589263916,3,2,5
1.4594542980194092,2,5,3
1.490883469581604,2,7,3
1.4787319898605347,2,5,0
1.2934117317199707,6,1,0
1.3029582500457764,2,1,3
1.4355151653289795,2,7,7
1.3922364711761475,5,1,3
1.4001166820526123,1,2,8
1.410025715827942,5,3,9
1.3676420450210571,4,2,6
1.3602739572525024,7,1,3
1.4885551929473877,8,4,9
1.4991979598999023,9,4,8
1.3523967266082764,6,2,5
1.3636159896850586,0,2,9
1.3776819705963135,1,2,0
1.4373682737350464,2,4,1
1.4503753185272217,4,3,1
1.3673088550567627,5,1,9
1.373175859451294,6,1,5
1.4775265455245972,5,2,3
1.4385474920272827,2,1,7
1.4481720924377441,1,1,4
1.4966286420822144,3,3,7
1.4459519386291504,2,2,5
1.3774962425231934,1,2,4
1.3899215459823608,4,1,2
1.4759626388549805,6,2,4
1.510718822479248,3,4,5
1.4284014701843262,8,2,6
1.397671103477478,4,2,1
1.4728044271469116,3,2,5
1.4048188924789429,1,2,4
1.4074220657348633,4,3,6
1.3767205476760864,4,2,1
1.4318701028823853,2,3,1
1.4229834079742432,6,2,5
1.4425127506256104,4,2,1
1.4368162155151367,4,2,1
1.347340703010559,1,1,7
1.3034379482269287,1,1,7
1.372381329536438,1,3,4
1.3833423852920532,7,3,3
1.2951749563217163,3,1,1
1.3377479314804077,1,1,0
1.4338014125823975,2,4,1
1.4491002559661865,0,3,8
1.3980292081832886,4,1,1
1.4445642232894897,2,3,0
1.525044322013855,2,0,2
1.5569894313812256,5,13,6
1.484629511833191,1,2,4
1.4577959775924683,2,5,1
1.490858554840088,9,3,8
1.400281548500061,2,1,3
1.4270366430282593,0,1,3
1.418558120727539,4,2,9
1.4183977842330933,1,4,6
1.4728642702102661,0,3,9
1.4542874097824097,3,2,8
1.4281514883041382,2,5,9
1.4174069166183472,7,2,3
1.3600183725357056,2,1,3
1.3601596355438232,4,1,2
1.4075952768325806,4,2,2
1.460553765296936,6,4,0
1.4267667531967163,8,3,9
1.32789945602417,1,1,7
1.3715159893035889,7,2,2
1.4345893859863281,1,2,4
1.4597620964050293,0,3,2
1.4405516386032104,3,4,1
1.3886289596557617,9,4,5
1.3753637075424194,1,3,7
1.3855805397033691,3,1,5
1.3745108842849731,5,2,6
1.4724317789077759,9,1,3
1.4373618364334106,3,2,5
1.471199631690979,1,2,7
1.3870173692703247,1,1,5
1.5179044008255005,1,3,0
1.5141621828079224,1,5,3
1.5364484786987305,3,4,5
1.473110556602478,7,1,1
1.3824132680892944,5,1,3
1.4788155555725098,6,3,8
1.341699481010437,2,2,9
1.3630324602127075,1,1,3
1.3385837078094482,5,1,6
1.3993117809295654,1,3,4
1.411884069442749,1,3,4
1.5188941955566406,2,4,8
1.4029103517532349,4,2,1
1.3597842454910278,7,1,3
1.331823468208313,5,2,6
1.4078034162521362,3,2,1
1.425739049911499,2,3,3
1.4521187543869019,4,2,1
1.4858721494674683,3,4,7
1.3931174278259277,2,5,1
1.508718729019165,9,2,1
1.399429440498352,5,1,6
1.343988299369812,8,2,6
1.3822129964828491,9,1,5
1.381973385810852,5,2,6
1.3402026891708374,1,2,4
1.346272587776184,0,2,2
1.4268501996994019,5,3,1
1.492130994796753,4,1,1
1.4103708267211914,2,1,5
1.413748860359192,4,1,1
1.402433156967163,4,1,1
1.3395593166351318,3,1,2
1.3127890825271606,1,1,3
1.3766303062438965,2,2,1
1.38822340965271,3,3,1
1.4047095775604248,8,1,3
1.36696195602417,6,2,8
1.3552067279815674,1,2,4
1.4226703643798828,5,4,9
1.3022668361663818,3,1,2
1.4683500528335571,3,4,8
1.4621134996414185,3,6,1
1.411173701286316,1,1,8
1.4320685863494873,8,1,6
1.300110936164856,9,1,1
1.3549467325210571,8,1,6
1.3857136964797974,7,3,2
1.4600518941879272,3,2,0
1.4498459100723267,9,3,4
