ddbs,gt,steps_to_atk,predictions
1.3884433507919312,1,1,7
1.3802915811538696,9,2,2
1.417549967765808,2,2,6
1.4055200815200806,3,1,8
1.3318586349487305,2,1,1
1.3222814798355103,5,1,1
1.3756840229034424,9,1,0
1.3753149509429932,3,1,5
1.3541194200515747,3,1,8
1.3362232446670532,1,1,7
1.3229992389678955,3,1,5
1.3432542085647583,3,1,4
1.3776206970214844,2,1,9
1.3488188982009888,8,2,2
1.34919273853302,7,1,3
1.3627948760986328,4,1,1
1.3698967695236206,4,1,2
1.308475136756897,1,1,0
1.3602858781814575,2,1,1
1.3881734609603882,8,1,6
1.3706679344177246,1,2,4
1.389323115348816,6,1,8
1.321109652519226,2,1,4
1.3078298568725586,3,1,4
1.3818292617797852,6,1,8
1.4025001525878906,3,2,8
1.3657995462417603,4,2,1
1.4029018878936768,2,2,8
1.3421324491500854,5,1,3
1.3654170036315918,8,1,0
1.3757598400115967,1,1,4
1.4001078605651855,6,1,4
1.3639816045761108,2,1,7
1.3640217781066895,3,1,2
1.3944882154464722,7,1,2
1.3871595859527588,9,2,0
1.3954017162322998,5,1,6
1.3907662630081177,3,1,5
1.4203346967697144,2,1,3
1.4402706623077393,2,1,9
1.4393280744552612,2,1,9
1.3096641302108765,6,1,5
1.3091768026351929,2,1,4
1.4350491762161255,2,1,7
1.3504180908203125,5,1,3
1.357056975364685,1,1,8
1.3498094081878662,5,1,3
1.3270329236984253,4,1,5
1.3385334014892578,7,1,3
1.4514750242233276,8,1,6
1.4199670553207397,9,1,8
1.303009271621704,6,1,5
1.3241604566574097,0,1,6
1.2951641082763672,1,1,7
1.4185559749603271,2,1,7
1.42686927318573,4,1,6
1.3639628887176514,5,1,3
1.3069353103637695,6,1,5
1.3753211498260498,5,1,3
1.379798173904419,2,1,7
1.3516908884048462,1,1,8
1.446974277496338,3,1,5
1.3837220668792725,2,1,0
1.3276222944259644,1,1,4
1.3226265907287598,4,1,9
1.411475658416748,6,1,3
1.4529201984405518,3,2,7
1.3763954639434814,8,1,6
1.3508504629135132,4,1,1
1.3911082744598389,3,2,5
1.3845198154449463,1,1,4
1.40425443649292,4,1,6
1.3267375230789185,4,1,1
1.3876529932022095,2,1,8
1.3992685079574585,6,1,5
1.3580821752548218,4,1,6
1.376503825187683,4,1,7
1.33017897605896,1,1,7
1.3036612272262573,1,1,7
1.3314026594161987,1,1,9
1.3653345108032227,7,1,2
1.315467119216919,3,1,4
1.2892013788223267,1,1,8
1.378206491470337,2,2,9
1.3634610176086426,0,1,1
1.3608874082565308,4,1,8
1.4143755435943604,2,1,1
1.4882093667984009,2,5,1
1.483795404434204,5,2,2
1.4504998922348022,1,2,4
1.422063946723938,2,2,1
1.4435741901397705,9,1,8
1.3612384796142578,2,1,1
1.3861476182937622,0,1,2
1.3399821519851685,4,1,9
1.355307936668396,1,3,4
1.3780804872512817,0,1,9
1.418328046798706,3,1,2
1.4003124237060547,2,2,7
1.3642103672027588,7,1,1
1.356809139251709,2,1,4
1.3639057874679565,4,1,7
1.3420692682266235,4,1,2
1.341066837310791,6,1,8
1.3631484508514404,8,1,3
1.3343312740325928,1,1,7
1.3891078233718872,7,1,2
1.3862272500991821,1,1,4
1.426622986793518,0,1,6
1.4055997133255005,3,1,8
1.3635401725769043,9,1,3
1.3502826690673828,1,1,7
1.3753116130828857,3,1,4
1.372154712677002,5,1,3
1.365364909172058,9,0,3
1.3624789714813232,3,1,5
1.4184811115264893,1,1,7
1.4064245223999023,1,1,7
1.455522894859314,1,1,3
1.474914789199829,1,1,0
1.5235350131988525,3,1,5
1.4632972478866577,7,1,2
1.3828493356704712,5,1,3
1.3868807554244995,6,1,5
1.3258392810821533,2,1,9
1.3330951929092407,1,1,3
1.3555437326431274,5,1,6
1.3695275783538818,1,1,7
1.386824607849121,1,1,7
1.4055712223052979,2,1,9
1.3633757829666138,4,1,2
1.3304963111877441,7,1,3
1.3169182538986206,5,1,8
1.3805427551269531,3,1,8
1.405574083328247,2,2,8
1.3837058544158936,4,1,1
1.4290333986282349,3,2,5
1.3929510116577148,2,2,9
1.3707525730133057,9,1,8
1.3575650453567505,5,1,3
1.3493318557739258,8,1,3
1.3576550483703613,9,1,3
1.3622605800628662,5,1,6
1.3297557830810547,1,1,4
1.2767727375030518,0,1,8
1.4023759365081787,5,1,2
1.4028279781341553,4,1,6
1.368759274482727,2,1,8
1.3093700408935547,4,1,1
1.355446696281433,4,1,1
1.3396981954574585,3,1,5
1.323603868484497,1,1,3
1.3153797388076782,2,1,1
1.3516294956207275,3,2,4
1.354339599609375,8,1,3
1.3297138214111328,6,1,5
1.3409817218780518,1,1,4
1.3745449781417847,5,1,6
1.293485403060913,3,1,8
1.3718910217285156,3,1,4
1.3961005210876465,3,2,8
1.3482067584991455,1,1,2
1.3380365371704102,8,1,6
1.322664737701416,9,1,3
1.382254719734192,8,1,5
1.3637861013412476,7,1,5
1.3936033248901367,3,1,8
1.397706151008606,9,2,4
1.4037668704986572,1,2,6
1.4181805849075317,3,1,9
1.3837841749191284,8,1,3
1.2811460494995117,1,1,2
1.352752923965454,9,1,4
1.3654760122299194,2,1,9
1.3331905603408813,2,1,9
1.3162850141525269,2,1,8
1.3266963958740234,2,1,0
1.3550900220870972,7,1,3
1.3662986755371094,4,1,9
1.3920927047729492,4,2,1
1.381559133529663,5,1,6
1.3013633489608765,6,1,3
1.2548760175704956,0,1,9
