ddbs,gt,steps_to_atk,predictions
0.08925394713878632,1,3,2
0.23179635405540466,9,4,0
0.326880544424057,2,8,2
0.18303705751895905,3,9,3
0.0884430855512619,2,4,1
0.1160600557923317,5,3,6
0.07010247558355331,9,3,2
0.12449083477258682,3,3,5
0.17900188267230988,3,3,8
0.07998619228601456,1,3,7
0.15581119060516357,3,4,5
0.11460499465465546,3,3,1
0.21587564051151276,2,3,9
0.20133274793624878,8,4,3
0.14234690368175507,7,3,3
0.26035404205322266,4,3,1
0.18768545985221863,4,3,8
0.12380026280879974,1,4,4
0.18694224953651428,2,3,4
0.13318264484405518,8,3,2
0.5387611389160156,1,4,3
0.1559460461139679,6,3,5
0.0932014063000679,2,3,3
0.053577300161123276,3,3,1
0.2156260907649994,6,3,5
0.32216373085975647,3,4,8
0.5758605599403381,4,8,1
0.3876485228538513,2,4,9
0.23021875321865082,5,4,1
0.20620712637901306,8,4,9
0.12285317480564117,1,3,4
0.08328372240066528,6,4,6
0.1110902726650238,2,3,7
0.14428368210792542,3,4,5
0.4411083459854126,7,4,7
0.46975597739219666,9,4,5
0.10902868211269379,5,4,6
0.2220696657896042,3,3,5
0.621736466884613,2,3,3
0.42462241649627686,2,4,7
0.48263514041900635,2,4,7
0.12202998250722885,6,3,0
0.1112949475646019,2,4,7
0.36323168873786926,2,4,7
0.07618359476327896,5,3,3
0.21876516938209534,1,4,4
0.19212698936462402,5,4,3
0.19320960342884064,4,4,6
0.09605851024389267,7,2,2
0.36305391788482666,8,4,9
0.3831210434436798,9,3,4
0.1072428748011589,6,4,5
0.08403807133436203,0,3,6
0.14043202996253967,1,5,7
0.23270708322525024,2,4,7
0.2910519540309906,4,4,1
0.1090025007724762,5,3,3
0.15521889925003052,6,3,4
0.17617623507976532,5,4,6
0.16630347073078156,2,3,7
0.12857647240161896,1,3,4
0.15878945589065552,3,2,5
0.2951680123806,2,3,9
0.137441948056221,1,4,4
0.06134406849741936,4,3,0
0.33443835377693176,6,4,5
0.6538293957710266,3,5,7
0.09345914423465729,8,4,6
0.4663459062576294,4,4,2
0.4498085081577301,3,5,7
0.21025405824184418,1,4,4
0.27600419521331787,4,4,6
0.19399724900722504,4,4,1
0.2064216583967209,2,4,9
0.17180965840816498,6,3,5
0.06890876591205597,4,2,1
0.17020350694656372,4,4,6
0.11239193379878998,1,4,7
0.14445433020591736,1,5,7
0.3188377022743225,1,5,7
0.3242136836051941,7,4,2
0.042991042137145996,3,3,7
0.056958556175231934,1,3,4
0.25758323073387146,2,4,4
0.30128148198127747,0,3,6
0.14341144263744354,4,20,4
0.19971248507499695,2,20,2
0.6540204286575317,2,4,4
0.7817601561546326,5,4,9
0.3524409532546997,1,4,4
0.48803824186325073,2,4,7
0.18399477005004883,9,3,3
0.07687210291624069,2,3,3
0.10592789947986603,0,3,9
0.23661735653877258,4,4,9
0.4692702889442444,1,4,4
0.17286546528339386,0,4,9
0.2243371456861496,3,4,8
0.37370628118515015,2,4,4
0.15765371918678284,7,4,3
0.1014086902141571,2,3,3
0.06654900312423706,4,3,2
0.18640722334384918,4,2,2
0.15297438204288483,6,2,8
0.097847118973732,8,3,3
0.08044692873954773,1,4,7
0.16242587566375732,7,2,2
0.16093888878822327,1,4,4
0.3376621901988983,0,4,6
0.4436623752117157,3,4,8
0.16722261905670166,9,4,3
0.16051559150218964,1,4,7
0.09955201297998428,3,3,5
0.2221437692642212,5,3,3
0.05364697426557541,9,2,3
0.1793304681777954,3,3,5
0.17777924239635468,1,3,2
0.16183102130889893,1,4,7
0.34602299332618713,1,3,3
0.5275431871414185,1,8,1
0.3321513235569,3,4,5
0.18142780661582947,7,3,1
0.07722631841897964,5,3,3
0.17401999235153198,6,3,8
0.3225895166397095,2,4,4
0.16820472478866577,1,4,4
0.06312675774097443,5,3,6
0.27720126509666443,1,4,4
0.2866499722003937,1,4,4
0.1809859573841095,2,4,9
0.11318907141685486,4,3,9
0.07871120423078537,7,3,3
0.2101902961730957,5,2,3
0.1421412080526352,3,4,2
0.4882156550884247,2,5,7
0.6380606293678284,4,5,4
0.42333582043647766,3,4,7
0.40660515427589417,2,5,1
0.24905531108379364,9,2,5
0.11135229468345642,5,2,3
0.04840714856982231,8,3,5
0.11144209653139114,9,4,2
0.18855422735214233,5,2,6
0.1507529318332672,1,3,4
0.12597113847732544,0,4,7
0.1706772893667221,5,3,3
0.08547822386026382,4,2,1
0.14035460352897644,2,3,7
0.05632815882563591,4,3,2
0.1206841990351677,4,4,1
0.05036477372050285,3,3,2
0.10893194377422333,1,2,3
0.14469751715660095,2,4,1
0.3705892562866211,3,5,7
0.07640361785888672,8,20,8
0.08751200139522552,6,3,8
0.2614515721797943,1,4,4
0.35599833726882935,5,4,6
0.07493740320205688,3,4,5
0.2040841430425644,3,20,3
0.22890083491802216,3,20,3
0.12606514990329742,1,3,4
0.09540779143571854,8,3,3
0.05736255645751953,9,3,2
0.05863121896982193,8,3,6
0.1059550791978836,7,3,1
0.15375888347625732,3,3,5
0.18536309897899628,9,4,2
0.35929927229881287,1,3,3
0.22406935691833496,3,4,2
0.16751621663570404,8,4,6
0.1535988301038742,1,4,4
0.13205011188983917,9,4,2
0.5115251541137695,2,4,9
0.24530069530010223,2,4,4
0.2697945833206177,2,4,9
0.07065548002719879,2,4,9
0.24768364429473877,7,4,5
0.2368565946817398,4,4,9
0.40481066703796387,4,4,1
0.11439360678195953,5,3,6
0.02960880659520626,6,3,5
0.10161623358726501,0,3,1
0.27389103174209595,3,2,8
0.06225917860865593,1,3,4
0.06477409601211548,7,3,2
0.13209886848926544,3,4,2
0.28326043486595154,5,2,3
0.36359232664108276,1,5,4
0.11216764897108078,7,3,2
0.26012083888053894,5,4,3
0.39777106046676636,1,4,4
0.3043334484100342,8,3,3
0.4440743923187256,1,4,7
0.38154640793800354,6,4,0
0.7799427509307861,4,4,1
0.2350710779428482,1,3,3
0.14813341200351715,9,4,0
0.08118487894535065,3,3,5
0.4046173691749573,3,4,7
0.22731086611747742,5,4,6
0.2984909415245056,1,4,4
0.29707270860671997,7,3,2
0.18009133636951447,1,4,4
0.32642343640327454,2,4,3
0.27501681447029114,1,5,4
0.12487148493528366,0,3,1
0.14985305070877075,4,2,6
0.14925608038902283,4,2,1
0.10744314640760422,1,4,7
0.15761388838291168,8,3,3
0.10372886061668396,3,4,2
0.1676761507987976,6,3,5
0.12257088720798492,1,4,4
0.1317300796508789,2,3,3
0.24318011105060577,0,4,6
0.4214969575405121,2,4,4
0.10999764502048492,1,4,4
0.25078725814819336,0,4,1
0.43560701608657837,9,4,8
0.14257343113422394,5,3,3
0.1998475342988968,3,20,2
0.14129911363124847,3,20,3
0.11488258093595505,5,20,6
0.26051804423332214,7,5,5
0.2727601230144501,1,5,7
0.10140512138605118,0,3,2
0.1507827639579773,4,4,1
0.5418205857276917,1,5,4
0.632390558719635,4,4,1
0.28848016262054443,1,4,4
0.3584451675415039,4,4,1
0.10453992336988449,5,4,7
0.1340264528989792,2,4,9
0.5774354934692383,2,5,9
0.3543517291545868,3,4,2
0.1984415203332901,0,2,8
0.1373705118894577,6,2,8
0.07417470961809158,3,3,8
0.10308760404586792,9,3,8
0.5460771322250366,1,5,4
0.20405201613903046,8,3,6
0.3317747116088867,7,4,2
0.12070060521364212,1,3,4
0.08725622296333313,3,3,7
0.27374744415283203,1,4,4
0.1442377120256424,9,4,0
0.20399674773216248,3,3,8
0.2899574935436249,2,4,9
0.06665800511837006,5,3,3
0.16865114867687225,1,3,0
0.0633029192686081,3,4,7
0.5374975204467773,4,4,2
0.32719600200653076,8,4,6
0.08130005747079849,3,3,5
0.0796525776386261,4,3,6
