ddbs,gt,steps_to_atk,predictions
1.41966712474823,1,1,2
1.4115368127822876,9,1,0
1.433785319328308,2,2,3
1.3911088705062866,3,1,8
1.3736906051635742,2,1,1
1.356911063194275,5,1,6
1.4145556688308716,9,1,2
1.4286417961120605,3,1,5
1.3983222246170044,3,1,8
1.3837083578109741,1,1,7
1.360418438911438,3,1,5
1.3945378065109253,3,1,4
1.4269543886184692,2,1,8
1.4217414855957031,8,1,3
1.369087815284729,7,1,3
1.4085557460784912,4,1,1
1.4042301177978516,4,1,8
1.3896197080612183,1,1,4
1.4237613677978516,2,1,4
1.4291752576828003,8,1,2
1.4424595832824707,1,3,7
1.451646089553833,6,1,3
1.3567432165145874,2,1,8
1.3752069473266602,3,1,1
1.44969642162323,6,1,5
1.4277855157852173,3,2,8
1.4103548526763916,4,3,1
1.432006597518921,2,2,9
1.3871796131134033,5,1,1
1.4385050535202026,8,1,9
1.4120750427246094,1,1,2
1.4182238578796387,6,1,2
1.3926910161972046,2,1,7
1.417335033416748,3,1,5
1.4206557273864746,7,2,2
1.4321484565734863,9,2,2
1.4302884340286255,5,1,6
1.4330567121505737,3,1,6
1.4692668914794922,2,4,9
1.4758251905441284,2,2,9
1.454818844795227,2,4,7
1.3623324632644653,6,1,0
1.370471477508545,2,1,1
1.4400854110717773,2,2,7
1.3950706720352173,5,1,3
1.4020860195159912,1,1,4
1.4003963470458984,5,1,3
1.3989678621292114,4,1,6
1.3797568082809448,7,1,2
1.4934017658233643,8,2,9
1.4713473320007324,9,2,8
1.3571938276290894,6,1,5
1.4103108644485474,0,1,6
1.350846767425537,1,1,3
1.437687873840332,2,1,7
1.4346168041229248,4,2,1
1.3903449773788452,5,1,3
1.3613548278808594,6,1,8
1.4485291242599487,5,1,6
1.4455101490020752,2,1,7
1.422990083694458,1,1,4
1.478784441947937,3,1,6
1.4428319931030273,2,1,5
1.381474256515503,1,1,4
1.3978087902069092,4,1,9
1.4645217657089233,6,2,5
1.4554851055145264,3,3,7
1.423642873764038,8,1,6
1.4239637851715088,4,2,2
1.4292510747909546,3,2,5
1.4392513036727905,1,1,9
1.4464409351348877,4,2,6
1.393997073173523,4,1,1
1.4328627586364746,2,1,9
1.4227017164230347,6,1,5
1.4243377447128296,4,1,1
